codmatricula;chavematricula;unidade;codcoordenador;siglacurso;codcurso;serie;coddisciplina;anoagenda;semletivo;sigladisciplina;codturma;siglaturno;horario;diasemana;codprofessor;titulacao
1202BADMN1A;1202BADMN1A0346;BRIGADEIRO;5;ADM;120;2;508;2021;2;102_092_PPI;BADMN1A;N1;18:00-20:30;Sexta Feira;216;MESTRE
1202BADMN1A;1202BADMN1A0052;BRIGADEIRO;5;ADM;120;2;509;2021;2;102_092_TGA;BADMN1A;N1;18:00-20:30;Segunda Feira;216;MESTRE
1202BADMN1B;1202BADMN1B1350;BRIGADEIRO;5;ADM;120;2;505;2021;2;102_092_CG;BADMN1B;N1;18:00-20:30;Segunda Feira;100031;MESTRE
1202BADMN1B;1202BADMN1B1281;BRIGADEIRO;5;ADM;120;2;506;2021;2;102_092_LP;BADMN1B;N1;18:00-20:30;Quarta Feira;100428;ESPECIALISTA
1202BADMN1B;1202BADMN1B1133;BRIGADEIRO;5;ADM;120;2;507;2021;2;102_092_M;BADMN1B;N1;18:00-20:30;Quinta Feira;100397;MESTRE
1202BADMN1B;1202BADMN1B0089;BRIGADEIRO;5;ADM;120;2;508;2021;2;102_092_PPI;BADMN1B;N1;18:00-20:30;Sexta Feira;100102;ESPECIALISTA
1202BADMN1B;1202BADMN1B0185;BRIGADEIRO;5;ADM;120;2;509;2021;2;102_092_TGA;BADMN1B;N1;18:00-20:30;Terça Feira;100102;ESPECIALISTA
1202BADMN2A;1202BADMN2A0848;BRIGADEIRO;5;ADM;120;2;505;2021;2;102_092_CG;BADMN2A;N2;20:40-23:10;Quarta Feira;100379;ESPECIALISTA
1202BADMN2A;1202BADMN2A0870;BRIGADEIRO;5;ADM;120;2;506;2021;2;102_092_LP;BADMN2A;N2;20:40-23:10;Quinta Feira;100408;MESTRE
1202BADMN2A;1202BADMN2A1179;BRIGADEIRO;5;ADM;120;2;507;2021;2;102_092_M;BADMN2A;N2;20:40-23:10;Segunda Feira;237;MESTRE
1202BADMN2A;1202BADMN2A0853;BRIGADEIRO;5;ADM;120;2;508;2021;2;102_092_PPI;BADMN2A;N2;20:40-23:10;Sexta Feira;100237;ESPECIALISTA
1202BADMN2A;1202BADMN2A0030;BRIGADEIRO;5;ADM;120;2;509;2021;2;102_092_TGA;BADMN2A;N2;20:40-23:10;Terça Feira;100237;ESPECIALISTA
1202BADMN2B;1202BADMN2B0386;BRIGADEIRO;5;ADM;120;2;505;2021;2;102_092_CG;BADMN2B;N2;20:40-23:10;Quarta Feira;282;MESTRE
1202BADMN2B;1202BADMN2B1215;BRIGADEIRO;5;ADM;120;2;506;2021;2;102_092_LP;BADMN2B;N2;20:40-23:10;Segunda Feira;100428;ESPECIALISTA
1202BADMN2B;1202BADMN2B0987;BRIGADEIRO;5;ADM;120;2;507;2021;2;102_092_M;BADMN2B;N2;20:40-23:10;Quinta Feira;100097;DOUTOR
1202BADMN2B;1202BADMN2B0940;BRIGADEIRO;5;ADM;120;2;508;2021;2;102_092_PPI;BADMN2B;N2;20:40-23:10;Sexta Feira;216;MESTRE
1202BADMN2B;1202BADMN2B0763;BRIGADEIRO;5;ADM;120;2;509;2021;2;102_092_TGA;BADMN2B;N2;20:40-23:10;Terça Feira;216;MESTRE
1202BADMN2A;1202BADMN2A1448;BRIGADEIRO;5;ADM;120;2;505;2021;2;102_092_CG;BADMN2A;N2;20:40-23:10;Quinta Feira;100424;ESPECIALISTA
1202BADMN2A;1202BADMN2A0476;BRIGADEIRO;5;ADM;120;2;506;2021;2;102_092_LP;BADMN2A;N2;20:40-23:10;Terça Feira;100408;MESTRE
1202BADMN2A;1202BADMN2A0158;BRIGADEIRO;5;ADM;120;2;507;2021;2;102_092_M;BADMN2A;N2;20:40-23:10;Quarta Feira;100397;MESTRE
1202BADMN2A;1202BADMN2A0537;BRIGADEIRO;5;ADM;120;2;508;2021;2;102_092_PPI;BADMN2A;N2;20:40-23:10;Sexta Feira;216;MESTRE
1202BADMN2A;1202BADMN2A0470;BRIGADEIRO;5;ADM;120;2;509;2021;2;102_092_TGA;BADMN2A;N2;20:40-23:10;Segunda Feira;216;MESTRE
1202BADMN2B;1202BADMN2B0229;BRIGADEIRO;5;ADM;120;2;505;2021;2;102_092_CG;BADMN2B;N2;20:40-23:10;Segunda Feira;100031;MESTRE
1202BADMN2B;1202BADMN2B0927;BRIGADEIRO;5;ADM;120;2;506;2021;2;102_092_LP;BADMN2B;N2;20:40-23:10;Quarta Feira;100428;ESPECIALISTA
1202BADMN2B;1202BADMN2B0627;BRIGADEIRO;5;ADM;120;2;507;2021;2;102_092_M;BADMN2B;N2;20:40-23:10;Quinta Feira;100397;MESTRE
1202BADMN2B;1202BADMN2B0687;BRIGADEIRO;5;ADM;120;2;508;2021;2;102_092_PPI;BADMN2B;N2;20:40-23:10;Sexta Feira;100102;ESPECIALISTA
1202BADMN2B;1202BADMN2B0755;BRIGADEIRO;5;ADM;120;2;509;2021;2;102_092_TGA;BADMN2B;N2;20:40-23:10;Terça Feira;100102;ESPECIALISTA
1202BADMN2A;1202BADMN2A0456;BRIGADEIRO;5;ADM;120;2;505;2021;2;102_092_CG;BADMN2A;N2;20:40-23:10;Terça Feira;100593;ESPECIALISTA
1202BADMN2A;1202BADMN2A1270;BRIGADEIRO;5;ADM;120;2;506;2021;2;102_092_LP;BADMN2A;N2;20:40-23:10;Quinta Feira;100428;ESPECIALISTA
1202BADMN2A;1202BADMN2A0883;BRIGADEIRO;5;ADM;120;2;507;2021;2;102_092_M;BADMN2A;N2;20:40-23:10;Quarta Feira;91;DOUTOR
1202BADMN2A;1202BADMN2A1404;BRIGADEIRO;5;ADM;120;2;508;2021;2;102_092_PPI;BADMN2A;N2;20:40-23:10;Sexta Feira;100102;ESPECIALISTA
1202BADMN2A;1202BADMN2A1462;BRIGADEIRO;5;ADM;120;2;509;2021;2;102_092_TGA;BADMN2A;N2;20:40-23:10;Segunda Feira;100102;ESPECIALISTA
1202BADMN2B;1202BADMN2B0556;BRIGADEIRO;5;ADM;120;2;505;2021;2;102_092_CG;BADMN2B;N2;20:40-23:10;Segunda Feira;100544;ESPECIALISTA
1202BADMN2B;1202BADMN2B0706;BRIGADEIRO;5;ADM;120;2;506;2021;2;102_092_LP;BADMN2B;N2;20:40-23:10;Terça Feira;100049;ESPECIALISTA
1202BADMN2B;1202BADMN2B0095;BRIGADEIRO;5;ADM;120;2;507;2021;2;102_092_M;BADMN2B;N2;20:40-23:10;Quarta Feira;237;MESTRE
1202BADMN2B;1202BADMN2B1165;BRIGADEIRO;5;ADM;120;2;508;2021;2;102_092_PPI;BADMN2B;N2;20:40-23:10;Sexta Feira;100102;ESPECIALISTA
1202BADMN2B;1202BADMN2B1113;BRIGADEIRO;5;ADM;120;2;509;2021;2;102_092_TGA;BADMN2B;N2;20:40-23:10;Quinta Feira;100102;ESPECIALISTA
1202LADMM1A;1202LADMM1A0413;LIBERDADE;5;ADM;120;2;505;2021;2;102_092_CG;LADMM1A;M1;07:00-09:40;Terça Feira;100216;MESTRE
1202LADMM1A;1202LADMM1A0640;LIBERDADE;5;ADM;120;2;506;2021;2;102_092_LP;LADMM1A;M1;07:00-09:40;Quarta Feira;100013;MESTRE
1202LADMM1A;1202LADMM1A0931;LIBERDADE;5;ADM;120;2;507;2021;2;102_092_M;LADMM1A;M1;07:00-09:40;Quinta Feira;100097;DOUTOR
1202LADMM1A;1202LADMM1A0560;LIBERDADE;5;ADM;120;2;508;2021;2;102_092_PPI;LADMM1A;M1;07:00-09:40;Sexta Feira;100360;MESTRE
1202LADMM1A;1202LADMM1A0545;LIBERDADE;5;ADM;120;2;509;2021;2;102_092_TGA;LADMM1A;M1;07:00-09:40;Segunda Feira;216;MESTRE
1202LADMM1B;1202LADMM1B0181;LIBERDADE;5;ADM;120;2;505;2021;2;102_092_CG;LADMM1B;M1;07:00-09:40;Quarta Feira;100031;MESTRE
1202LADMM1B;1202LADMM1B0150;LIBERDADE;5;ADM;120;2;506;2021;2;102_092_LP;LADMM1B;M1;07:00-09:40;Segunda Feira;100310;DOUTOR
1202LADMM1B;1202LADMM1B1150;LIBERDADE;5;ADM;120;2;507;2021;2;102_092_M;LADMM1B;M1;07:00-09:40;Quinta Feira;237;MESTRE
1202LADMM1B;1202LADMM1B0949;LIBERDADE;5;ADM;120;2;508;2021;2;102_092_PPI;LADMM1B;M1;07:00-09:40;Sexta Feira;216;MESTRE
1202LADMM1B;1202LADMM1B1374;LIBERDADE;5;ADM;120;2;509;2021;2;102_092_TGA;LADMM1B;M1;07:00-09:40;Terça Feira;216;MESTRE
1202LADMN1A;1202LADMN1A0935;LIBERDADE;5;ADM;120;2;505;2021;2;102_092_CG;LADMN1A;N1;18:00-20:30;Segunda Feira;100424;ESPECIALISTA
1202LADMN1A;1202LADMN1A0450;LIBERDADE;5;ADM;120;2;506;2021;2;102_092_LP;LADMN1A;N1;18:00-20:30;Quarta Feira;100013;MESTRE
1202LADMN1A;1202LADMN1A1290;LIBERDADE;5;ADM;120;2;507;2021;2;102_092_M;LADMN1A;N1;18:00-20:30;Terça Feira;237;MESTRE
1202LADMN1A;1202LADMN1A0216;LIBERDADE;5;ADM;120;2;508;2021;2;102_092_PPI;LADMN1A;N1;18:00-20:30;Sexta Feira;100237;ESPECIALISTA
1202LADMN1A;1202LADMN1A0325;LIBERDADE;5;ADM;120;2;509;2021;2;102_092_TGA;LADMN1A;N1;18:00-20:30;Quinta Feira;27;DOUTOR
1202LADMN1B;1202LADMN1B1412;LIBERDADE;5;ADM;120;2;505;2021;2;102_092_CG;LADMN1B;N1;18:00-20:30;Quarta Feira;100031;MESTRE
1202LADMN1B;1202LADMN1B0975;LIBERDADE;5;ADM;120;2;506;2021;2;102_092_LP;LADMN1B;N1;18:00-20:30;Quinta Feira;100079;MESTRE
1202LADMN1B;1202LADMN1B0088;LIBERDADE;5;ADM;120;2;507;2021;2;102_092_M;LADMN1B;N1;18:00-20:30;Terça Feira;100391;ESPECIALISTA
1202LADMN1B;1202LADMN1B0489;LIBERDADE;5;ADM;120;2;508;2021;2;102_092_PPI;LADMN1B;N1;18:00-20:30;Sexta Feira;100607;ESPECIALISTA
1202LADMN1B;1202LADMN1B1554;LIBERDADE;5;ADM;120;2;509;2021;2;102_092_TGA;LADMN1B;N1;18:00-20:30;Segunda Feira;100607;ESPECIALISTA
1202LADMN2A;1202LADMN2A0636;LIBERDADE;5;ADM;120;2;505;2021;2;102_092_CG;LADMN2A;N2;20:40-23:10;Segunda Feira;100424;ESPECIALISTA
1202LADMN2A;1202LADMN2A0605;LIBERDADE;5;ADM;120;2;506;2021;2;102_092_LP;LADMN2A;N2;20:40-23:10;Quarta Feira;100013;MESTRE
1202LADMN2A;1202LADMN2A0443;LIBERDADE;5;ADM;120;2;507;2021;2;102_092_M;LADMN2A;N2;20:40-23:10;Terça Feira;237;MESTRE
1202LADMN2A;1202LADMN2A1336;LIBERDADE;5;ADM;120;2;508;2021;2;102_092_PPI;LADMN2A;N2;20:40-23:10;Sexta Feira;100237;ESPECIALISTA
1202LADMN2A;1202LADMN2A1030;LIBERDADE;5;ADM;120;2;509;2021;2;102_092_TGA;LADMN2A;N2;20:40-23:10;Quinta Feira;27;DOUTOR
1202BADMM1A;1202BADMM1A0155;BRIGADEIRO;5;ADM;120;2;505;2021;2;102_092_CG;BADMM1A;M1;07:00-09:40;Quinta Feira;100737;ESPECIALISTA
1202BADMM1A;1202BADMM1A0971;BRIGADEIRO;5;ADM;120;2;506;2021;2;102_092_LP;BADMM1A;M1;07:00-09:40;Terça Feira;100310;DOUTOR
1202BADMM1A;1202BADMM1A0449;BRIGADEIRO;5;ADM;120;2;507;2021;2;102_092_M;BADMM1A;M1;07:00-09:40;Segunda Feira;100511;MESTRE
1202BADMM1A;1202BADMM1A0437;BRIGADEIRO;5;ADM;120;2;508;2021;2;102_092_PPI;BADMM1A;M1;07:00-09:40;Sexta Feira;100237;ESPECIALISTA
1202BADMM1A;1202BADMM1A1087;BRIGADEIRO;5;ADM;120;2;509;2021;2;102_092_TGA;BADMM1A;M1;07:00-09:40;Quarta Feira;100237;ESPECIALISTA
1202BADMN1A;1202BADMN1A0792;BRIGADEIRO;5;ADM;120;2;505;2021;2;102_092_CG;BADMN1A;N1;18:00-20:30;Terça Feira;100424;ESPECIALISTA
1202BADMN1A;1202BADMN1A0379;BRIGADEIRO;5;ADM;120;2;506;2021;2;102_092_LP;BADMN1A;N1;18:00-20:30;Quarta Feira;100231;ESPECIALISTA
1202BADMN1A;1202BADMN1A1370;BRIGADEIRO;5;ADM;120;2;507;2021;2;102_092_M;BADMN1A;N1;18:00-20:30;Segunda Feira;100726;ESPECIALISTA
1202BADMN1A;1202BADMN1A0626;BRIGADEIRO;5;ADM;120;2;508;2021;2;102_092_PPI;BADMN1A;N1;18:00-20:30;Sexta Feira;100511;MESTRE
1202BADMN1A;1202BADMN1A0677;BRIGADEIRO;5;ADM;120;2;509;2021;2;102_092_TGA;BADMN1A;N1;18:00-20:30;Quinta Feira;100511;MESTRE
1202BADMN2A;1202BADMN2A0065;BRIGADEIRO;5;ADM;120;2;505;2021;2;102_092_CG;BADMN2A;N2;20:40-23:10;Terça Feira;100424;ESPECIALISTA
1202BADMN2A;1202BADMN2A0861;BRIGADEIRO;5;ADM;120;2;506;2021;2;102_092_LP;BADMN2A;N2;20:40-23:10;Quarta Feira;100231;ESPECIALISTA
1202BADMN2A;1202BADMN2A0099;BRIGADEIRO;5;ADM;120;2;507;2021;2;102_092_M;BADMN2A;N2;20:40-23:10;Segunda Feira;100726;ESPECIALISTA
1202BADMN2A;1202BADMN2A0368;BRIGADEIRO;5;ADM;120;2;508;2021;2;102_092_PPI;BADMN2A;N2;20:40-23:10;Sexta Feira;100511;MESTRE
1202BADMN2A;1202BADMN2A0774;BRIGADEIRO;5;ADM;120;2;509;2021;2;102_092_TGA;BADMN2A;N2;20:40-23:10;Quinta Feira;100511;MESTRE
1203LADMN1A;1203LADMN1A0091;LIBERDADE;5;ADM;120;3;515;2021;2;103_092_CO;LADMN1A;N1;18:00-20:30;Quinta Feira;100030;MESTRE
1203LADMN1A;1203LADMN1A0916;LIBERDADE;5;ADM;120;3;516;2021;2;103_092_E;LADMN1A;N1;18:00-20:30;Segunda Feira;100391;ESPECIALISTA
1203LADMN1A;1203LADMN1A0705;LIBERDADE;5;ADM;120;3;517;2021;2;103_092_LT;LADMN1A;N1;18:00-20:30;Terça Feira;100455;ESPECIALISTA
1203LADMN1A;1203LADMN1A0562;LIBERDADE;5;ADM;120;3;518;2021;2;103_092_M;LADMN1A;N1;18:00-20:30;Quarta Feira;100706;ESPECIALISTA
1203LADMN1A;1203LADMN1A1461;LIBERDADE;5;ADM;120;3;519;2021;2;103_092_PPI;LADMN1A;N1;18:00-20:30;Sexta Feira;100714;ESPECIALISTA
1203LADMN1A;1203LADMN1A1029;LIBERDADE;5;ADM;120;3;520;2021;2;103_092_SO;LADMN1A;N1;18:00-20:30;Quinta Feira;100360;MESTRE
1203BADMN1A;1203BADMN1A0796;BRIGADEIRO;5;ADM;120;3;515;2021;2;103_092_CO;BADMN1A;N1;18:00-20:30;Segunda Feira;100294;MESTRE
1203BADMN1A;1203BADMN1A0760;BRIGADEIRO;5;ADM;120;3;516;2021;2;103_092_E;BADMN1A;N1;18:00-20:30;Terça Feira;100397;MESTRE
1203BADMN1A;1203BADMN1A0165;BRIGADEIRO;5;ADM;120;3;517;2021;2;103_092_LT;BADMN1A;N1;18:00-20:30;Quarta Feira;268;ESPECIALISTA
1203BADMN1A;1203BADMN1A0272;BRIGADEIRO;5;ADM;120;3;518;2021;2;103_092_M;BADMN1A;N1;18:00-20:30;Quinta Feira;100714;ESPECIALISTA
1203BADMN1A;1203BADMN1A0552;BRIGADEIRO;5;ADM;120;3;519;2021;2;103_092_PPI;BADMN1A;N1;18:00-20:30;Sexta Feira;100714;ESPECIALISTA
1203BADMN1A;1203BADMN1A1084;BRIGADEIRO;5;ADM;120;3;520;2021;2;103_092_SO;BADMN1A;N1;18:00-20:30;Segunda Feira;100030;MESTRE
1203BADMN1B;1203BADMN1B1295;BRIGADEIRO;5;ADM;120;3;515;2021;2;103_092_CO;BADMN1B;N1;18:00-20:30;Segunda Feira;100294;MESTRE
1203BADMN1B;1203BADMN1B0450;BRIGADEIRO;5;ADM;120;3;516;2021;2;103_092_E;BADMN1B;N1;18:00-20:30;Terça Feira;100097;DOUTOR
1203BADMN1B;1203BADMN1B0285;BRIGADEIRO;5;ADM;120;3;517;2021;2;103_092_LT;BADMN1B;N1;18:00-20:30;Quinta Feira;268;ESPECIALISTA
1203BADMN1B;1203BADMN1B0176;BRIGADEIRO;5;ADM;120;3;518;2021;2;103_092_M;BADMN1B;N1;18:00-20:30;Quarta Feira;100714;ESPECIALISTA
1203BADMN1B;1203BADMN1B0961;BRIGADEIRO;5;ADM;120;3;519;2021;2;103_092_PPI;BADMN1B;N1;18:00-20:30;Sexta Feira;100714;ESPECIALISTA
1203BADMN1B;1203BADMN1B0682;BRIGADEIRO;5;ADM;120;3;520;2021;2;103_092_SO;BADMN1B;N1;18:00-20:30;Segunda Feira;100030;MESTRE
1203BADMN2A;1203BADMN2A0347;BRIGADEIRO;5;ADM;120;3;515;2021;2;103_092_CO;BADMN2A;N2;20:40-23:10;Segunda Feira;100294;MESTRE
1203BADMN2A;1203BADMN2A1439;BRIGADEIRO;5;ADM;120;3;516;2021;2;103_092_E;BADMN2A;N2;20:40-23:10;Terça Feira;100397;MESTRE
1203BADMN2A;1203BADMN2A0709;BRIGADEIRO;5;ADM;120;3;517;2021;2;103_092_LT;BADMN2A;N2;20:40-23:10;Quarta Feira;268;ESPECIALISTA
1203BADMN2A;1203BADMN2A1475;BRIGADEIRO;5;ADM;120;3;518;2021;2;103_092_M;BADMN2A;N2;20:40-23:10;Quinta Feira;100714;ESPECIALISTA
1203BADMN2A;1203BADMN2A1345;BRIGADEIRO;5;ADM;120;3;519;2021;2;103_092_PPI;BADMN2A;N2;20:40-23:10;Sexta Feira;100714;ESPECIALISTA
1203BADMN2A;1203BADMN2A0935;BRIGADEIRO;5;ADM;120;3;520;2021;2;103_092_SO;BADMN2A;N2;18:00-20:30;Segunda Feira;100030;MESTRE
1203BADMN2B;1203BADMN2B1013;BRIGADEIRO;5;ADM;120;3;515;2021;2;103_092_CO;BADMN2B;N2;20:40-23:10;Segunda Feira;100294;MESTRE
1203BADMN2B;1203BADMN2B1277;BRIGADEIRO;5;ADM;120;3;516;2021;2;103_092_E;BADMN2B;N2;20:40-23:10;Terça Feira;100097;DOUTOR
1203BADMN2B;1203BADMN2B0929;BRIGADEIRO;5;ADM;120;3;517;2021;2;103_092_LT;BADMN2B;N2;20:40-23:10;Quinta Feira;268;ESPECIALISTA
1203BADMN2B;1203BADMN2B0881;BRIGADEIRO;5;ADM;120;3;518;2021;2;103_092_M;BADMN2B;N2;20:40-23:10;Quarta Feira;100714;ESPECIALISTA
1203BADMN2B;1203BADMN2B0368;BRIGADEIRO;5;ADM;120;3;519;2021;2;103_092_PPI;BADMN2B;N2;20:40-23:10;Sexta Feira;100714;ESPECIALISTA
1203BADMN2B;1203BADMN2B0170;BRIGADEIRO;5;ADM;120;3;520;2021;2;103_092_SO;BADMN2B;N2;18:00-20:30;Segunda Feira;100030;MESTRE
1203BADMN1A;1203BADMN1A0726;BRIGADEIRO;5;ADM;120;3;515;2021;2;103_092_CO;BADMN1A;N1;18:00-20:30;Terça Feira;100030;MESTRE
1203BADMN1A;1203BADMN1A0049;BRIGADEIRO;5;ADM;120;3;516;2021;2;103_092_E;BADMN1A;N1;18:00-20:30;Segunda Feira;100401;MESTRE
1203BADMN1A;1203BADMN1A1312;BRIGADEIRO;5;ADM;120;3;517;2021;2;103_092_LT;BADMN1A;N1;18:00-20:30;Quinta Feira;131;ESPECIALISTA
1203BADMN1A;1203BADMN1A1557;BRIGADEIRO;5;ADM;120;3;518;2021;2;103_092_M;BADMN1A;N1;18:00-20:30;Quarta Feira;281;ESPECIALISTA
1203BADMN1A;1203BADMN1A1380;BRIGADEIRO;5;ADM;120;3;519;2021;2;103_092_PPI;BADMN1A;N1;18:00-20:30;Sexta Feira;281;ESPECIALISTA
1203BADMN1A;1203BADMN1A0619;BRIGADEIRO;5;ADM;120;3;520;2021;2;103_092_SO;BADMN1A;N1;18:00-20:30;Sexta Feira;100030;MESTRE
1203BADMN2A;1203BADMN2A0356;BRIGADEIRO;5;ADM;120;3;515;2021;2;103_092_CO;BADMN2A;N2;20:40-23:10;Terça Feira;100030;MESTRE
1203BADMN2A;1203BADMN2A1270;BRIGADEIRO;5;ADM;120;3;516;2021;2;103_092_E;BADMN2A;N2;20:40-23:10;Segunda Feira;100401;MESTRE
1203BADMN2A;1203BADMN2A0158;BRIGADEIRO;5;ADM;120;3;517;2021;2;103_092_LT;BADMN2A;N2;20:40-23:10;Quinta Feira;131;ESPECIALISTA
1203BADMN2A;1203BADMN2A0225;BRIGADEIRO;5;ADM;120;3;518;2021;2;103_092_M;BADMN2A;N2;20:40-23:10;Quarta Feira;281;ESPECIALISTA
1203BADMN2A;1203BADMN2A0511;BRIGADEIRO;5;ADM;120;3;519;2021;2;103_092_PPI;BADMN2A;N2;20:40-23:10;Sexta Feira;281;ESPECIALISTA
1203BADMN2A;1203BADMN2A1027;BRIGADEIRO;5;ADM;120;3;520;2021;2;103_092_SO;BADMN2A;N2;18:00-20:30;Sexta Feira;100030;MESTRE
