chavematricula;codmaricula;ra;codcurso;serie;codturno;codunidade;unidade;codturma;siglaturno;tipocurso;datamatricula;coddisciplina;sigladisciplina;status
01051BREDM1A;1321BREDM1A;100694;132;1;3;2;BRIGADEIRO;BREDM1A;M1;TECNOLOGICO;25/06/21;9999;Matricula;Concluido
01052LLICM2A;1383LLICM2A;100695;138;3;4;1;LIBERDADE;LLICM2A;M2;LICENCIATURA;13/06/21;9999;Matricula;Trancado
01053BPEDM2A;1245BPEDM2A;100696;124;5;4;2;BRIGADEIRO;BPEDM2A;M2;BACHARELADO;28/06/21;9999;Matricula;Trancado
01054BSECN2A;1335BSECN2A;100697;133;5;2;2;BRIGADEIRO;BSECN2A;N2;TECNOLOGICO;01/06/21;9999;Matricula;Trancado
01055LBDDN1A;1274LBDDN1A;100698;127;4;1;1;LIBERDADE;LBDDN1A;N1;TECNOLOGICO;19/06/21;9999;Matricula;Trancado
01056LBDIN1A;1282LBDIN1A;100699;128;2;1;1;LIBERDADE;LBDIN1A;N1;TECNOLOGICO;10/07/21;9999;Matricula;Trancado
01057LLIPM2A;1372LLIPM2A;100700;137;2;4;1;LIBERDADE;LLIPM2A;M2;LICENCIATURA;17/06/21;9999;Matricula;Cancelado
01058LENCM2A;1362LENCM2A;100701;136;2;4;1;LIBERDADE;LENCM2A;M2;ENGENHARIA;14/07/21;9999;Matricula;Trancado
01059BBDIN2A;1283BBDIN2A;100702;128;3;2;2;BRIGADEIRO;BBDIN2A;N2;TECNOLOGICO;13/07/21;9999;Matricula;Concluido
01060BSGIM2A;1342BSGIM2A;100703;134;2;4;2;BRIGADEIRO;BSGIM2A;M2;TECNOLOGICO;26/07/21;9999;Matricula;Cancelado
01061LICCM2A;1305LICCM2A;100704;130;5;4;1;LIBERDADE;LICCM2A;M2;TECNOLOGICO;27/07/21;9999;Matricula;Cancelado
01062BBDDM2A;1272BBDDM2A;100705;127;2;4;2;BRIGADEIRO;BBDDM2A;M2;TECNOLOGICO;06/07/21;9999;Matricula;Concluido
01063LLICM2A;1385LLICM2A;100706;138;5;4;1;LIBERDADE;LLICM2A;M2;LICENCIATURA;22/06/21;9999;Matricula;Cancelado
01064BPEDN2A;1245BPEDN2A;100707;124;5;2;2;BRIGADEIRO;BPEDN2A;N2;BACHARELADO;09/07/21;1042;505_081_CM;Ativo
01065BPEDN2A;1245BPEDN2A;100707;124;5;2;2;BRIGADEIRO;BPEDN2A;N2;BACHARELADO;09/07/21;1043;505_081_D;Ativo
01066BPEDN2A;1245BPEDN2A;100707;124;5;2;2;BRIGADEIRO;BPEDN2A;N2;BACHARELADO;09/07/21;1044;505_081_FP;Ativo
01067BPEDN2A;1245BPEDN2A;100707;124;5;2;2;BRIGADEIRO;BPEDN2A;N2;BACHARELADO;09/07/21;1045;505_081_FEL;Ativo
01068BPEDN2A;1245BPEDN2A;100707;124;5;2;2;BRIGADEIRO;BPEDN2A;N2;BACHARELADO;09/07/21;1046;505_081_PPI;Ativo
01069BREDN1A;1323BREDN1A;100708;132;3;1;2;BRIGADEIRO;BREDN1A;N1;TECNOLOGICO;14/06/21;9999;Matricula;Concluido
01070BSIDM1A;1355BSIDM1A;100709;135;5;3;2;BRIGADEIRO;BSIDM1A;M1;TECNOLOGICO;14/06/21;9999;Matricula;Concluido
01071LLICN2A;1385LLICN2A;100710;138;5;2;1;LIBERDADE;LLICN2A;N2;LICENCIATURA;04/07/21;9999;Matricula;Trancado
01072LMATN1A;1232LMATN1A;100711;123;2;1;1;LIBERDADE;LMATN1A;N1;BACHARELADO;23/07/21;1245;1261245LED;Ativo
01073BREDM2A;1323BREDM2A;100712;132;3;4;2;BRIGADEIRO;BREDM2A;M2;TECNOLOGICO;21/07/21;9999;Matricula;Cancelado
01074LBDDM2A;1273LBDDM2A;100713;127;3;4;1;LIBERDADE;LBDDM2A;M2;TECNOLOGICO;19/06/21;9999;Matricula;Concluido
01075LPEDN2A;1244LPEDN2A;100714;124;4;2;1;LIBERDADE;LPEDN2A;N2;BACHARELADO;03/07/21;1037;504_081_CP;Ativo
01076LPEDN2A;1244LPEDN2A;100714;124;4;2;1;LIBERDADE;LPEDN2A;N2;BACHARELADO;03/07/21;1038;504_081_EJA;Ativo
01077LPEDN2A;1244LPEDN2A;100714;124;4;2;1;LIBERDADE;LPEDN2A;N2;BACHARELADO;03/07/21;1039;504_081_EFEB;Ativo
01078LPEDN2A;1244LPEDN2A;100714;124;4;2;1;LIBERDADE;LPEDN2A;N2;BACHARELADO;03/07/21;1040;504_081_GE;Ativo
01079LPEDN2A;1244LPEDN2A;100714;124;4;2;1;LIBERDADE;LPEDN2A;N2;BACHARELADO;03/07/21;1041;504_081_PPI;Ativo
01080BLICM2A;1386BLICM2A;100715;138;6;4;2;BRIGADEIRO;BLICM2A;M2;LICENCIATURA;01/07/21;9999;Matricula;Trancado
01081BREDN1A;1321BREDN1A;100716;132;1;1;2;BRIGADEIRO;BREDN1A;N1;TECNOLOGICO;07/07/21;1069;821A_101_FCD;Ativo
01082BREDN1A;1321BREDN1A;100716;132;1;1;2;BRIGADEIRO;BREDN1A;N1;TECNOLOGICO;07/07/21;1070;821A_101_IA;Ativo
01083BREDN1A;1321BREDN1A;100716;132;1;1;2;BRIGADEIRO;BREDN1A;N1;TECNOLOGICO;07/07/21;1071;821A_101_LP;Ativo
01084BREDN1A;1321BREDN1A;100716;132;1;1;2;BRIGADEIRO;BREDN1A;N1;TECNOLOGICO;07/07/21;1072;821A_101_MQ;Ativo
01085BREDN1A;1321BREDN1A;100716;132;1;1;2;BRIGADEIRO;BREDN1A;N1;TECNOLOGICO;07/07/21;1073;821A_101_PPI;Ativo
01086BSECM1A;1333BSECM1A;100717;133;3;3;2;BRIGADEIRO;BSECM1A;M1;TECNOLOGICO;24/06/21;9999;Matricula;Trancado
01087BADSM2A;1261BADSM2A;100718;126;1;4;2;BRIGADEIRO;BADSM2A;M2;TECNOLOGICO;08/07/21;9999;Matricula;Concluido
01088LENCM1A;1366LENCM1A;100719;136;6;3;1;LIBERDADE;LENCM1A;M1;ENGENHARIA;19/07/21;9999;Matricula;Trancado
01089LADSN2A;1264LADSN2A;100720;126;4;2;1;LIBERDADE;LADSN2A;N2;TECNOLOGICO;24/06/21;9999;Matricula;Concluido
01090BPEDM1A;1246BPEDM1A;100721;124;6;3;2;BRIGADEIRO;BPEDM1A;M1;BACHARELADO;30/06/21;9999;Matricula;Cancelado
01091LREDN1A;1323LREDN1A;100722;132;3;1;1;LIBERDADE;LREDN1A;N1;TECNOLOGICO;07/06/21;9999;Matricula;Trancado
01092BENCN1A;1368BENCN1A;100723;136;8;1;2;BRIGADEIRO;BENCN1A;N1;ENGENHARIA;10/07/21;9999;Matricula;Cancelado
01093LICCM2A;1302LICCM2A;100724;130;2;4;1;LIBERDADE;LICCM2A;M2;TECNOLOGICO;30/07/21;9999;Matricula;Cancelado
01094LICCM1A;1303LICCM1A;100725;130;3;3;1;LIBERDADE;LICCM1A;M1;TECNOLOGICO;14/07/21;9999;Matricula;Concluido
01095BPEDN1A;1246BPEDN1A;100726;124;6;1;2;BRIGADEIRO;BPEDN1A;N1;BACHARELADO;18/06/21;1047;506_081_AA;Ativo
01096BPEDN1A;1246BPEDN1A;100726;124;6;1;2;BRIGADEIRO;BPEDN1A;N1;BACHARELADO;18/06/21;1048;506_081_MEC;Ativo
01097BPEDN1A;1246BPEDN1A;100726;124;6;1;2;BRIGADEIRO;BPEDN1A;N1;BACHARELADO;18/06/21;1049;506_081_MEG;Ativo
01098BPEDN1A;1246BPEDN1A;100726;124;6;1;2;BRIGADEIRO;BPEDN1A;N1;BACHARELADO;18/06/21;1050;506_081_MEM;Ativo
01099BPEDN1A;1246BPEDN1A;100726;124;6;1;2;BRIGADEIRO;BPEDN1A;N1;BACHARELADO;18/06/21;1051;506_081_TCC;Ativo
01100BPEDN1A;1246BPEDN1A;100726;124;6;1;2;BRIGADEIRO;BPEDN1A;N1;BACHARELADO;18/06/21;1052;506_081_PPI;Ativo
01101BBLCN2A;1292BBLCN2A;100727;129;2;2;2;BRIGADEIRO;BBLCN2A;N2;TECNOLOGICO;11/07/21;9999;Matricula;Trancado
01102BADMN2A;1203BADMN2A;100728;120;3;2;2;BRIGADEIRO;BADMN2A;N2;BACHARELADO;16/07/21;515;103_092_CO;Ativo
01103BADMN2A;1203BADMN2A;100728;120;3;2;2;BRIGADEIRO;BADMN2A;N2;BACHARELADO;16/07/21;516;103_092_E;Ativo
01104BADMN2A;1203BADMN2A;100728;120;3;2;2;BRIGADEIRO;BADMN2A;N2;BACHARELADO;16/07/21;517;103_092_LT;Ativo
01105BADMN2A;1203BADMN2A;100728;120;3;2;2;BRIGADEIRO;BADMN2A;N2;BACHARELADO;16/07/21;518;103_092_M;Ativo
01106BADMN2A;1203BADMN2A;100728;120;3;2;2;BRIGADEIRO;BADMN2A;N2;BACHARELADO;16/07/21;519;103_092_PPI;Ativo
01107BADMN2A;1203BADMN2A;100728;120;3;2;2;BRIGADEIRO;BADMN2A;N2;BACHARELADO;16/07/21;520;103_092_SO;Ativo
01108LSIDN1A;1354LSIDN1A;100729;135;4;1;1;LIBERDADE;LSIDN1A;N1;TECNOLOGICO;15/06/21;9999;Matricula;Trancado
01109LADSN1A;1264LADSN1A;100730;126;4;1;1;LIBERDADE;LADSN1A;N1;TECNOLOGICO;09/06/21;9999;Matricula;Cancelado
01110LLIPM2A;1374LLIPM2A;100731;137;4;4;1;LIBERDADE;LLIPM2A;M2;LICENCIATURA;03/07/21;9999;Matricula;Cancelado
01111LLICM1A;1385LLICM1A;100732;138;5;3;1;LIBERDADE;LLICM1A;M1;LICENCIATURA;25/07/21;9999;Matricula;Cancelado
01112BJGDM1A;1311BJGDM1A;100733;131;1;3;2;BRIGADEIRO;BJGDM1A;M1;TECNOLOGICO;23/07/21;9999;Matricula;Trancado
01113BBLCN1A;1294BBLCN1A;100734;129;4;1;2;BRIGADEIRO;BBLCN1A;N1;TECNOLOGICO;30/07/21;9999;Matricula;Trancado
01114LCCTM2A;1223LCCTM2A;100735;122;3;4;1;LIBERDADE;LCCTM2A;M2;BACHARELADO;29/06/21;9999;Matricula;Trancado
01115LPEDM1A;1247LPEDM1A;100736;124;7;3;1;LIBERDADE;LPEDM1A;M1;BACHARELADO;08/07/21;1058;507_081_APMD;Ativo
01116LPEDM1A;1247LPEDM1A;100736;124;7;3;1;LIBERDADE;LPEDM1A;M1;BACHARELADO;08/07/21;1059;507_081_FI;Ativo
01117LPEDM1A;1247LPEDM1A;100736;124;7;3;1;LIBERDADE;LPEDM1A;M1;BACHARELADO;08/07/21;1060;507_081_MA;Ativo
01118LPEDM1A;1247LPEDM1A;100736;124;7;3;1;LIBERDADE;LPEDM1A;M1;BACHARELADO;08/07/21;1061;507_081_MEH;Ativo
01119LPEDM1A;1247LPEDM1A;100736;124;7;3;1;LIBERDADE;LPEDM1A;M1;BACHARELADO;08/07/21;1062;507_081_TCC;Ativo
01120LPEDM1A;1247LPEDM1A;100736;124;7;3;1;LIBERDADE;LPEDM1A;M1;BACHARELADO;08/07/21;1063;507_081_PPI;Ativo
01121LPEDN1A;1241LPEDN1A;100737;124;1;1;1;LIBERDADE;LPEDN1A;N1;BACHARELADO;26/06/21;9999;Matricula;Trancado
01122LLICM1A;1382LLICM1A;100738;138;2;3;1;LIBERDADE;LLICM1A;M1;LICENCIATURA;30/07/21;9999;Matricula;Cancelado
01123LSECM1A;1332LSECM1A;100739;133;2;3;1;LIBERDADE;LSECM1A;M1;TECNOLOGICO;02/07/21;9999;Matricula;Concluido
01124LCCTM1A;1222LCCTM1A;100740;122;2;3;1;LIBERDADE;LCCTM1A;M1;BACHARELADO;14/06/21;9999;Matricula;Concluido
01125BCCPM1A;1217BCCPM1A;100741;121;7;3;2;BRIGADEIRO;BCCPM1A;M1;BACHARELADO;08/06/21;9999;Matricula;Trancado
01126BLICM2A;1383BLICM2A;100742;138;3;4;2;BRIGADEIRO;BLICM2A;M2;LICENCIATURA;07/06/21;9999;Matricula;Trancado
01127LLICM2A;1385LLICM2A;100743;138;5;4;1;LIBERDADE;LLICM2A;M2;LICENCIATURA;22/06/21;9999;Matricula;Cancelado
01128BICCM2A;1304BICCM2A;100744;130;4;4;2;BRIGADEIRO;BICCM2A;M2;TECNOLOGICO;15/06/21;9999;Matricula;Cancelado
01129BADMN2B;1204BADMN2B;100745;120;4;2;2;BRIGADEIRO;BADMN2B;N2;BACHARELADO;29/06/21;521;104_081_ADF;Ativo
01130BADMN2B;1204BADMN2B;100745;120;4;2;2;BRIGADEIRO;BADMN2B;N2;BACHARELADO;29/06/21;522;104_081_CO;Ativo
01131BADMN2B;1204BADMN2B;100745;120;4;2;2;BRIGADEIRO;BADMN2B;N2;BACHARELADO;29/06/21;523;104_081_DEM;Ativo
01132BADMN2B;1204BADMN2B;100745;120;4;2;2;BRIGADEIRO;BADMN2B;N2;BACHARELADO;29/06/21;524;104_081_E;Ativo
01133BADMN2B;1204BADMN2B;100745;120;4;2;2;BRIGADEIRO;BADMN2B;N2;BACHARELADO;29/06/21;525;104_081_M;Ativo
01134BADMN2B;1204BADMN2B;100745;120;4;2;2;BRIGADEIRO;BADMN2B;N2;BACHARELADO;29/06/21;526;104_081_PPIN;Ativo
01135LSISM1A;1258LSISM1A;100746;125;8;3;1;LIBERDADE;LSISM1A;M1;BACHARELADO;24/07/21;9999;Matricula;Trancado
01136LADSN1A;1263LADSN1A;100747;126;3;1;1;LIBERDADE;LADSN1A;N1;TECNOLOGICO;21/07/21;9999;Matricula;Cancelado
01137BSGIM2A;1342BSGIM2A;100748;134;2;4;2;BRIGADEIRO;BSGIM2A;M2;TECNOLOGICO;01/07/21;9999;Matricula;Concluido
01138BBLCN2A;1293BBLCN2A;100749;129;3;2;2;BRIGADEIRO;BBLCN2A;N2;TECNOLOGICO;16/07/21;9999;Matricula;Cancelado
01139LBLCM1A;1292LBLCM1A;100750;129;2;3;1;LIBERDADE;LBLCM1A;M1;TECNOLOGICO;09/07/21;9999;Matricula;Cancelado
01140LADMN1A;1204LADMN1A;100751;120;4;1;1;LIBERDADE;LADMN1A;N1;BACHARELADO;30/07/21;521;104_081_ADF;Ativo
01141LADMN1A;1204LADMN1A;100751;120;4;1;1;LIBERDADE;LADMN1A;N1;BACHARELADO;30/07/21;522;104_081_CO;Ativo
01142LADMN1A;1204LADMN1A;100751;120;4;1;1;LIBERDADE;LADMN1A;N1;BACHARELADO;30/07/21;523;104_081_DEM;Ativo
01143LADMN1A;1204LADMN1A;100751;120;4;1;1;LIBERDADE;LADMN1A;N1;BACHARELADO;30/07/21;524;104_081_E;Ativo
01144LADMN1A;1204LADMN1A;100751;120;4;1;1;LIBERDADE;LADMN1A;N1;BACHARELADO;30/07/21;525;104_081_M;Ativo
01145LADMN1A;1204LADMN1A;100751;120;4;1;1;LIBERDADE;LADMN1A;N1;BACHARELADO;30/07/21;526;104_081_PPIN;Ativo
01146LBLCM2A;1294LBLCM2A;100752;129;4;4;1;LIBERDADE;LBLCM2A;M2;TECNOLOGICO;20/07/21;9999;Matricula;Trancado
01147BSGIN1A;1342BSGIN1A;100753;134;2;1;2;BRIGADEIRO;BSGIN1A;N1;TECNOLOGICO;29/06/21;9999;Matricula;Trancado
01148LICCN1A;1304LICCN1A;100754;130;4;1;1;LIBERDADE;LICCN1A;N1;TECNOLOGICO;14/06/21;9999;Matricula;Concluido
01149BSGIM2A;1341BSGIM2A;100755;134;1;4;2;BRIGADEIRO;BSGIM2A;M2;TECNOLOGICO;24/07/21;9999;Matricula;Trancado
01150BSIDN2A;1352BSIDN2A;100756;135;2;2;2;BRIGADEIRO;BSIDN2A;N2;TECNOLOGICO;18/06/21;9999;Matricula;Trancado
01151BSISN1A;1253BSISN1A;100757;125;3;1;2;BRIGADEIRO;BSISN1A;N1;BACHARELADO;29/06/21;9999;Matricula;Concluido
01152BBDDN2A;1275BBDDN2A;100758;127;5;2;2;BRIGADEIRO;BBDDN2A;N2;TECNOLOGICO;01/07/21;9999;Matricula;Concluido
01153LPEDM1A;1248LPEDM1A;100759;124;8;3;1;LIBERDADE;LPEDM1A;M1;BACHARELADO;21/07/21;9999;Matricula;Trancado
01154BBLCM2A;1294BBLCM2A;100760;129;4;4;2;BRIGADEIRO;BBLCM2A;M2;TECNOLOGICO;09/06/21;9999;Matricula;Trancado
01155LSISM2A;1252LSISM2A;100761;125;2;4;1;LIBERDADE;LSISM2A;M2;BACHARELADO;24/07/21;9999;Matricula;Trancado
01156BENCM1A;1364BENCM1A;100762;136;4;3;2;BRIGADEIRO;BENCM1A;M1;ENGENHARIA;18/06/21;9999;Matricula;Trancado
01157LICCM2A;1301LICCM2A;100763;130;1;4;1;LIBERDADE;LICCM2A;M2;TECNOLOGICO;20/06/21;9999;Matricula;Trancado
01158BBDIN2A;1285BBDIN2A;100764;128;5;2;2;BRIGADEIRO;BBDIN2A;N2;TECNOLOGICO;23/06/21;9999;Matricula;Trancado
01159LBDIM2A;1285LBDIM2A;100765;128;5;4;1;LIBERDADE;LBDIM2A;M2;TECNOLOGICO;25/06/21;9999;Matricula;Trancado
01160BSGIN1A;1342BSGIN1A;100766;134;2;1;2;BRIGADEIRO;BSGIN1A;N1;TECNOLOGICO;17/06/21;9999;Matricula;Cancelado
01161BBDDN2A;1273BBDDN2A;100767;127;3;2;2;BRIGADEIRO;BBDDN2A;N2;TECNOLOGICO;30/07/21;9999;Matricula;Trancado
01162LLICN2A;1385LLICN2A;100768;138;5;2;1;LIBERDADE;LLICN2A;N2;LICENCIATURA;18/07/21;9999;Matricula;Concluido
01163LPEDN1A;1247LPEDN1A;100769;124;7;1;1;LIBERDADE;LPEDN1A;N1;BACHARELADO;29/06/21;1058;507_081_APMD;Ativo
01164LPEDN1A;1247LPEDN1A;100769;124;7;1;1;LIBERDADE;LPEDN1A;N1;BACHARELADO;29/06/21;1059;507_081_FI;Ativo
01165LPEDN1A;1247LPEDN1A;100769;124;7;1;1;LIBERDADE;LPEDN1A;N1;BACHARELADO;29/06/21;1060;507_081_MA;Ativo
01166LPEDN1A;1247LPEDN1A;100769;124;7;1;1;LIBERDADE;LPEDN1A;N1;BACHARELADO;29/06/21;1061;507_081_MEH;Ativo
01167LPEDN1A;1247LPEDN1A;100769;124;7;1;1;LIBERDADE;LPEDN1A;N1;BACHARELADO;29/06/21;1062;507_081_TCC;Ativo
01168LPEDN1A;1247LPEDN1A;100769;124;7;1;1;LIBERDADE;LPEDN1A;N1;BACHARELADO;29/06/21;1063;507_081_PPI;Ativo
01169BBDIM1A;1281BBDIM1A;100770;128;1;3;2;BRIGADEIRO;BBDIM1A;M1;TECNOLOGICO;08/06/21;9999;Matricula;Trancado
01170LBDIM1A;1282LBDIM1A;100771;128;2;3;1;LIBERDADE;LBDIM1A;M1;TECNOLOGICO;25/06/21;9999;Matricula;Trancado
01171LCCTM2A;1228LCCTM2A;100772;122;8;4;1;LIBERDADE;LCCTM2A;M2;BACHARELADO;22/07/21;9999;Matricula;Trancado
01172BPEDN1A;1247BPEDN1A;100773;124;7;1;2;BRIGADEIRO;BPEDN1A;N1;BACHARELADO;06/06/21;1058;507_081_APMD;Ativo
01173BPEDN1A;1247BPEDN1A;100773;124;7;1;2;BRIGADEIRO;BPEDN1A;N1;BACHARELADO;06/06/21;1059;507_081_FI;Ativo
01174BPEDN1A;1247BPEDN1A;100773;124;7;1;2;BRIGADEIRO;BPEDN1A;N1;BACHARELADO;06/06/21;1060;507_081_MA;Ativo
01175BPEDN1A;1247BPEDN1A;100773;124;7;1;2;BRIGADEIRO;BPEDN1A;N1;BACHARELADO;06/06/21;1061;507_081_MEH;Ativo
01176BPEDN1A;1247BPEDN1A;100773;124;7;1;2;BRIGADEIRO;BPEDN1A;N1;BACHARELADO;06/06/21;1062;507_081_TCC;Ativo
