chavematricula;codmatricula;ra;codcurso;serie;coddisciplina;sigladisciplina;notan1;notan2;notaaps
01034BBLCM1A;1291BBLCM1A;101482;129;1;1169;701_092_IB;1.00;4.75;9.65
01035BBLCM1A;1291BBLCM1A;101482;129;1;1170;701_092_LP;9.00;4.75;4.75
01036BBLCM1A;1291BBLCM1A;101482;129;1;1171;701_092_M;5.25;6.00;6.00
01037BBLCM1A;1291BBLCM1A;101482;129;1;1172;701_092_PPI;2.00;2.00;9.65
01038LADMM1A;1206LADMM1A;101493;120;6;532;106_081_FC;6.00;4.75;3.00
01039LADMM1A;1206LADMM1A;101493;120;6;538;106_081_GPE;0.00;4.75;9.65
01040LADMM1A;1206LADMM1A;101493;120;6;534;106_081_LE;2.00;4.75;9.65
01041LADMM1A;1206LADMM1A;101493;120;6;535;106_081_M;6.00;2.00;9.65
01042LADMM1A;1206LADMM1A;101493;120;6;536;106_081_MF;6.00;4.75;5.00
01043LADMM1A;1206LADMM1A;101493;120;6;539;106_081_PPIN;10.00;6.00;10.00
01044LADMM1A;1202LADMM1A;101499;120;2;505;102_092_CG;7.5;6.00;2.00
01045LADMM1A;1202LADMM1A;101499;120;2;506;102_092_LP;2.00;4.75;0.50
01046LADMM1A;1202LADMM1A;101499;120;2;507;102_092_M;3.5;10.00;1.00
01047LADMM1A;1202LADMM1A;101499;120;2;508;102_092_PPI;1.00;3.00;9.65
01048LADMM1A;1202LADMM1A;101499;120;2;509;102_092_TGA;10.00;3.00;7.00
01049BBLCM1A;1291BBLCM1A;101510;129;1;1168;701_092_AP;0.00;10.00;1.00
01050BBLCM1A;1291BBLCM1A;101510;129;1;1169;701_092_IB;2.00;8.5;4.75
01051BBLCM1A;1291BBLCM1A;101510;129;1;1170;701_092_LP;2.00;10.00;6.00
01052BBLCM1A;1291BBLCM1A;101510;129;1;1171;701_092_M;10.00;2.00;0.50
01053BBLCM1A;1291BBLCM1A;101510;129;1;1172;701_092_PPI;5.25;5.00;2.00
01054BMATM1A;1237BMATM1A;101513;123;7;1236;1261236GEV;0.00;7.00;8.50
01055LPEDN1A;1246LPEDN1A;101517;124;6;1047;506_081_AA;5.25;5.00;10.00
01056LPEDN1A;1246LPEDN1A;101517;124;6;1048;506_081_MEC;8.00;8.5;6.00
01057LPEDN1A;1246LPEDN1A;101517;124;6;1049;506_081_MEG;7.5;6.00;2.00
01058LPEDN1A;1246LPEDN1A;101517;124;6;1050;506_081_MEM;4.00;4.75;3.00
01059LPEDN1A;1246LPEDN1A;101517;124;6;1051;506_081_TCC;8.00;2.00;9.65
01060LPEDN1A;1246LPEDN1A;101517;124;6;1052;506_081_PPI;0.00;5.00;6.00
01061LCCPM1A;1213LCCPM1A;101540;121;3;634;203_092_E;3.5;3.00;9.65
01062LCCPM1A;1213LCCPM1A;101540;121;3;635;203_092_ED;2.00;8.5;10.00
01063LCCPM1A;1213LCCPM1A;101540;121;3;636;203_092_LP;2.00;7.00;9.65
01064LCCPM1A;1213LCCPM1A;101540;121;3;637;203_092_MC;10.00;6.00;4.75
01065LCCPM1A;1213LCCPM1A;101540;121;3;638;203_092_PPI;6.00;3.00;2.00
01066LPEDM1A;1244LPEDM1A;101543;124;4;1037;504_081_CP;7.5;10.00;7.00
01067LPEDM1A;1244LPEDM1A;101543;124;4;1038;504_081_EJA;0.00;3.00;7.00
01068LPEDM1A;1244LPEDM1A;101543;124;4;1039;504_081_EFEB;7.5;4.75;1.00
01069LPEDM1A;1244LPEDM1A;101543;124;4;1040;504_081_GE;9.00;3.00;5.00
01070LPEDM1A;1244LPEDM1A;101543;124;4;1041;504_081_PPI;3.5;10.00;3.00
01071LMATM1A;1238LMATM1A;101544;123;8;1218;1261218ATC;2.00;2.00;3.00
01072BMATN1A;1237BMATN1A;101549;123;7;1218;1261218ATC;7.5;5.00;0.50
01073LPEDN2A;1244LPEDN2A;101550;124;4;1037;504_081_CP;1.00;5.00;7.00
01074LPEDN2A;1244LPEDN2A;101550;124;4;1038;504_081_EJA;3.5;8.5;0.50
01075LPEDN2A;1244LPEDN2A;101550;124;4;1039;504_081_EFEB;10.00;3.00;9.65
01076LPEDN2A;1244LPEDN2A;101550;124;4;1040;504_081_GE;0.00;2.00;3.00
01077LPEDN2A;1244LPEDN2A;101550;124;4;1041;504_081_PPI;7.5;2.00;0.50
01078BADMN1A;1202BADMN1A;101557;120;2;505;102_092_CG;5.25;10.00;7.00
01079BADMN1A;1202BADMN1A;101557;120;2;506;102_092_LP;7.5;3.00;3.00
01080BADMN1A;1202BADMN1A;101557;120;2;507;102_092_M;0.00;6.00;2.00
01081BADMN1A;1202BADMN1A;101557;120;2;508;102_092_PPI;8.00;1.00;8.50
01082BADMN1A;1202BADMN1A;101557;120;2;509;102_092_TGA;10.00;4.75;3.00
01083LMATM2A;1231LMATM2A;101560;123;1;1231;1261231FDV;9.00;5.00;0.50
01084LMATM1A;1232LMATM1A;101567;123;2;1240;1261240INE;2.00;5.00;9.65
01085LREDM2A;1322LREDM2A;101572;132;2;1079;821B_092_101_CR;10.00;8.5;8.50
01086LREDM2A;1322LREDM2A;101572;132;2;1080;821B_092_101_FIE;3.5;3.00;4.75
01087LREDM2A;1322LREDM2A;101572;132;2;1081;821B_092_101_FSO;0.00;3.00;4.75
01088LREDM2A;1322LREDM2A;101572;132;2;1082;821B_092_101_ICSO;7.5;3.00;0.50
01089LREDM2A;1322LREDM2A;101572;132;2;1083;821B_092_101_PPI;0.00;8.5;8.50
01090BPEDM1A;1242BPEDM1A;101581;124;2;1019;502_092_FE;1.00;7.00;3.00
01091BPEDM1A;1242BPEDM1A;101581;124;2;1020;502_092_LP;4.00;10.00;5.00
01092BPEDM1A;1242BPEDM1A;101581;124;2;1021;502_092_PEN;6.00;1.00;4.75
01093BPEDM1A;1242BPEDM1A;101581;124;2;1022;502_092_PPI;6.00;6.00;0.50
01094BPEDM1A;1242BPEDM1A;101581;124;2;1023;502_092_PE;0.00;4.75;1.00
01095BPEDM1A;1242BPEDM1A;101581;124;2;1024;502_092_TE;6.00;4.75;8.50
01096LADMN1A;1202LADMN1A;101583;120;2;505;102_092_CG;1.00;9.65;2.00
01097LADMN1A;1202LADMN1A;101583;120;2;506;102_092_LP;6.00;10.00;1.00
01098LADMN1A;1202LADMN1A;101583;120;2;507;102_092_M;6.00;2.00;6.00
01099LADMN1A;1202LADMN1A;101583;120;2;508;102_092_PPI;8.00;8.5;1.00
01100LADMN1A;1202LADMN1A;101583;120;2;509;102_092_TGA;4.00;4.75;2.00
01101LADMM1A;1203LADMM1A;101584;120;3;515;103_092_CO;1.00;9.65;5.00
01102LADMM1A;1203LADMM1A;101584;120;3;516;103_092_E;2.00;3.00;8.50
01103LADMM1A;1203LADMM1A;101584;120;3;517;103_092_LT;2.00;5.00;6.00
01104LADMM1A;1203LADMM1A;101584;120;3;518;103_092_M;0.00;10.00;3.00
01105LADMM1A;1203LADMM1A;101584;120;3;519;103_092_PPI;2.00;8.5;10.00
01106LADMM1A;1203LADMM1A;101584;120;3;520;103_092_SO;5.25;6.00;7.00
01107LMATM1A;1235LMATM1A;101603;123;5;1217;1261217ASE;7.5;1.00;4.75
01108BADMN1A;1202BADMN1A;101606;120;2;505;102_092_CG;9.00;1.00;8.50
01109BADMN1A;1202BADMN1A;101606;120;2;506;102_092_LP;3.5;3.00;1.00
01110BADMN1A;1202BADMN1A;101606;120;2;507;102_092_M;5.25;6.00;8.50
01111BADMN1A;1202BADMN1A;101606;120;2;508;102_092_PPI;6.00;8.5;9.65
01112BADMN1A;1202BADMN1A;101606;120;2;509;102_092_TGA;4.00;3.00;9.65
01113BENCM1A;1361BENCM1A;101619;136;1;1168;701_092_AP;5.25;10.00;8.50
01114BENCM1A;1361BENCM1A;101619;136;1;1169;701_092_IB;9.00;10.00;5.00
01115BENCM1A;1361BENCM1A;101619;136;1;1170;701_092_LP;0.00;2.00;7.00
01116BENCM1A;1361BENCM1A;101619;136;1;1171;701_092_M;4.00;2.00;4.75
01117BENCM1A;1361BENCM1A;101619;136;1;1172;701_092_PPI;8.00;8.5;2.00
01118LPEDM2A;1244LPEDM2A;101639;124;4;1037;504_081_CP;6.00;1.00;3.00
01119LPEDM2A;1244LPEDM2A;101639;124;4;1038;504_081_EJA;2.00;9.65;8.50
01120LPEDM2A;1244LPEDM2A;101639;124;4;1039;504_081_EFEB;10.00;1.00;3.00
01121LPEDM2A;1244LPEDM2A;101639;124;4;1040;504_081_GE;8.00;3.00;3.00
01122LPEDM2A;1244LPEDM2A;101639;124;4;1041;504_081_PPI;6.00;10.00;3.00
01123BREDN1A;1321BREDN1A;101679;132;1;1069;821A_101_FCD;7.5;4.75;0.50
01124BREDN1A;1321BREDN1A;101679;132;1;1070;821A_101_IA;6.00;8.5;0.50
01125BREDN1A;1321BREDN1A;101679;132;1;1071;821A_101_LP;0.00;4.75;8.50
01126BREDN1A;1321BREDN1A;101679;132;1;1072;821A_101_MQ;3.5;7.00;8.50
01127BREDN1A;1321BREDN1A;101679;132;1;1073;821A_101_PPI;1.00;4.75;7.00
01128LREDM2A;1322LREDM2A;101695;132;2;1079;821B_092_101_CR;2.00;3.00;7.00
01129LREDM2A;1322LREDM2A;101695;132;2;1080;821B_092_101_FIE;4.00;10.00;7.00
01130LREDM2A;1322LREDM2A;101695;132;2;1081;821B_092_101_FSO;8.00;1.00;6.00
01131LREDM2A;1322LREDM2A;101695;132;2;1082;821B_092_101_ICSO;10.00;7.00;4.75
01132LREDM2A;1322LREDM2A;101695;132;2;1083;821B_092_101_PPI;4.00;7.00;9.65
01133LSISN2A;1258LSISN2A;101697;125;8;1207;708_081_ELTI;9.00;10.00;5.00
01134LSISN2A;1258LSISN2A;101697;125;8;1208;708_081_GTI;5.25;3.00;6.00
01135LSISN2A;1258LSISN2A;101697;125;8;1209;708_081_IE;8.00;9.65;5.00
01136LSISN2A;1258LSISN2A;101697;125;8;1210;708_081_PN;9.00;1.00;8.50
01137LSISN2A;1258LSISN2A;101697;125;8;1211;708_081_STI;0.00;4.75;0.50
01138LSISN2A;1258LSISN2A;101697;125;8;1212;708_081_TCC;7.5;10.00;6.00
01139LMATN2A;1235LMATN2A;101705;123;5;1228;1261228ES4;10.00;7.00;2.00
01140BMATN1A;1236BMATN1A;101715;123;6;1225;1261225ES1;10.00;6.00;7.00
01141LPEDN2A;1247LPEDN2A;101716;124;7;1058;507_081_APMD;7.5;8.5;8.50
01142LPEDN2A;1247LPEDN2A;101716;124;7;1059;507_081_FI;3.5;2.00;10.00
01143LPEDN2A;1247LPEDN2A;101716;124;7;1060;507_081_MA;5.25;7.00;9.65
01144LPEDN2A;1247LPEDN2A;101716;124;7;1061;507_081_MEH;0.00;7.00;5.00
01145LPEDN2A;1247LPEDN2A;101716;124;7;1062;507_081_TCC;2.00;9.65;8.50
01146LPEDN2A;1247LPEDN2A;101716;124;7;1063;507_081_PPI;6.00;9.65;8.50
01147LSIDN1A;1351LSIDN1A;101753;135;1;1168;701_092_AP;2.00;4.75;6.00
01148LSIDN1A;1351LSIDN1A;101753;135;1;1169;701_092_IB;6.00;9.65;2.00
01149LSIDN1A;1351LSIDN1A;101753;135;1;1170;701_092_LP;4.00;6.00;6.00
01150LSIDN1A;1351LSIDN1A;101753;135;1;1171;701_092_M;10.00;3.00;7.00
01151LSIDN1A;1351LSIDN1A;101753;135;1;1172;701_092_PPI;5.25;10.00;7.00
01152BMATN1A;1231BMATN1A;101762;123;1;1225;1261225ES1;2.00;5.00;5.00
01153BLICN2A;1381BLICN2A;101768;138;1;1168;701_092_AP;8.00;10.00;8.50
01154BLICN2A;1381BLICN2A;101768;138;1;1169;701_092_IB;6.00;10.00;6.00
01155BLICN2A;1381BLICN2A;101768;138;1;1170;701_092_LP;3.5;10.00;0.50
01156BLICN2A;1381BLICN2A;101768;138;1;1171;701_092_M;4.00;10.00;0.50
01157BLICN2A;1381BLICN2A;101768;138;1;1172;701_092_PPI;8.00;5.00;6.00
01158BMATM1A;1231BMATM1A;101777;123;1;1241;1261241INT;5.25;10.00;2.00
01159BADMN2A;1202BADMN2A;101780;120;2;505;102_092_CG;4.00;8.5;7.00
01160BADMN2A;1202BADMN2A;101780;120;2;506;102_092_LP;2.00;5.00;5.00
01161BADMN2A;1202BADMN2A;101780;120;2;507;102_092_M;10.00;3.00;7.00
01162BADMN2A;1202BADMN2A;101780;120;2;508;102_092_PPI;4.00;5.00;0.50
01163BADMN2A;1202BADMN2A;101780;120;2;509;102_092_TGA;9.00;10.00;5.00
01164LSISN2A;1255LSISN2A;101786;125;5;1191;705_092_BD;4.00;7.00;4.75
01165LSISN2A;1255LSISN2A;101786;125;5;1192;705_092_ESO;8.00;1.00;10.00
01166LSISN2A;1255LSISN2A;101786;125;5;1193;705_092_PO;8.00;7.00;2.00
01167LSISN2A;1255LSISN2A;101786;125;5;1194;705_092_PPI;7.5;2.00;6.00
01168LSISN2A;1255LSISN2A;101786;125;5;1195;705_092_TPR;8.00;6.00;6.00
01169LMATN2A;1236LMATN2A;101790;123;6;1221;1261221COM;3.5;9.65;10.00
01170LMATN2A;1235LMATN2A;101794;123;5;1228;1261228ES4;6.00;3.00;3.00
01171BADMN2A;1202BADMN2A;101795;120;2;505;102_092_CG;4.00;1.00;2.00
01172BADMN2A;1202BADMN2A;101795;120;2;506;102_092_LP;7.5;1.00;3.00
01173BADMN2A;1202BADMN2A;101795;120;2;507;102_092_M;9.00;7.00;0.50
01174BADMN2A;1202BADMN2A;101795;120;2;508;102_092_PPI;6.00;9.65;9.65
01175BADMN2A;1202BADMN2A;101795;120;2;509;102_092_TGA;10.00;5.00;8.50
01176BBDIM2A;1281BBDIM2A;101798;128;1;1168;701_092_AP;1.00;10.00;8.50
01177BBDIM2A;1281BBDIM2A;101798;128;1;1169;701_092_IB;10.00;2.00;6.00
01178BBDIM2A;1281BBDIM2A;101798;128;1;1170;701_092_LP;10.00;2.00;5.00
01179BBDIM2A;1281BBDIM2A;101798;128;1;1171;701_092_M;2.00;5.00;3.00
01180BBDIM2A;1281BBDIM2A;101798;128;1;1172;701_092_PPI;6.00;3.00;10.00
01181BMATM2A;1232BMATM2A;101807;123;2;1218;1261218ATC;4.00;4.75;6.00
01182BPEDN2A;1244BPEDN2A;101816;124;4;1037;504_081_CP;0.00;5.00;4.75
01183BPEDN2A;1244BPEDN2A;101816;124;4;1038;504_081_EJA;5.25;4.75;0.50
01184BPEDN2A;1244BPEDN2A;101816;124;4;1039;504_081_EFEB;3.5;2.00;0.50
01185BPEDN2A;1244BPEDN2A;101816;124;4;1040;504_081_GE;7.5;1.00;6.00
01186BPEDN2A;1244BPEDN2A;101816;124;4;1041;504_081_PPI;8.00;1.00;2.00
01187BMATN1A;1236BMATN1A;101817;123;6;1225;1261225ES1;7.5;9.65;7.00
01188BBDDN2A;1272BBDDN2A;101819;127;2;589;823B_092_FBD;6.00;4.75;10.00
01189BBDDN2A;1272BBDDN2A;101819;127;2;590;823B_092_FSO;2.00;9.65;5.00
01190BBDDN2A;1272BBDDN2A;101819;127;2;591;823B_092_ICSOR;5.25;1.00;5.00
01191BBDDN2A;1272BBDDN2A;101819;127;2;592;823B_092_ICS;0.00;6.00;9.65
01192BBDDN2A;1272BBDDN2A;101819;127;2;593;823B_092_PPI;5.25;3.00;1.00
01193BMATN1A;1235BMATN1A;101825;123;5;1244;1261244LIB;2.00;10.00;10.00
01194LPEDN2A;1246LPEDN2A;101829;124;6;1047;506_081_AA;6.00;6.00;2.00
01195LPEDN2A;1246LPEDN2A;101829;124;6;1048;506_081_MEC;0.00;2.00;6.00
01196LPEDN2A;1246LPEDN2A;101829;124;6;1049;506_081_MEG;8.00;3.00;3.00
01197LPEDN2A;1246LPEDN2A;101829;124;6;1050;506_081_MEM;3.5;6.00;2.00
01198LPEDN2A;1246LPEDN2A;101829;124;6;1051;506_081_TCC;7.5;9.65;3.00
01199LPEDN2A;1246LPEDN2A;101829;124;6;1052;506_081_PPI;5.25;6.00;3.00
01200LADSN1A;1261LADSN1A;101836;126;1;1168;701_092_AP;7.5;1.00;1.00
01201LADSN1A;1261LADSN1A;101836;126;1;1169;701_092_IB;2.00;9.65;1.00
01202LADSN1A;1261LADSN1A;101836;126;1;1170;701_092_LP;9.00;3.00;4.75
01203LADSN1A;1261LADSN1A;101836;126;1;1171;701_092_M;2.00;10.00;9.65
01204LADSN1A;1261LADSN1A;101836;126;1;1172;701_092_PPI;6.00;3.00;8.50
01205BADMN1A;1202BADMN1A;101837;120;2;505;102_092_CG;6.00;9.65;1.00
01206BADMN1A;1202BADMN1A;101837;120;2;506;102_092_LP;1.00;9.65;1.00
01207BADMN1A;1202BADMN1A;101837;120;2;507;102_092_M;6.00;2.00;8.50
01208BADMN1A;1202BADMN1A;101837;120;2;508;102_092_PPI;6.00;4.75;9.65
01209BADMN1A;1202BADMN1A;101837;120;2;509;102_092_TGA;8.00;5.00;3.00
01210LADMN1A;1206LADMN1A;101856;120;6;532;106_081_FC;0.00;7.00;6.00
01211LADMN1A;1206LADMN1A;101856;120;6;538;106_081_GPE;0.00;9.65;2.00
01212LADMN1A;1206LADMN1A;101856;120;6;534;106_081_LE;7.5;5.00;0.50
01213LADMN1A;1206LADMN1A;101856;120;6;535;106_081_M;9.00;4.75;1.00
01214LADMN1A;1206LADMN1A;101856;120;6;536;106_081_MF;7.5;3.00;8.50
01215LADMN1A;1206LADMN1A;101856;120;6;539;106_081_PPIN;10.00;8.5;6.00
01216LADMN2A;1202LADMN2A;101857;120;2;505;102_092_CG;3.5;10.00;5.00
01217LADMN2A;1202LADMN2A;101857;120;2;506;102_092_LP;8.00;2.00;4.75
01218LADMN2A;1202LADMN2A;101857;120;2;507;102_092_M;3.5;3.00;3.00
01219LADMN2A;1202LADMN2A;101857;120;2;508;102_092_PPI;6.00;3.00;0.50
01220LADMN2A;1202LADMN2A;101857;120;2;509;102_092_TGA;4.00;8.5;8.50
01221BMATM1A;1234BMATM1A;101864;123;4;1231;1261231FDV;10.00;9.65;2.00
01222LADMN2A;1202LADMN2A;101866;120;2;505;102_092_CG;0.00;10.00;6.00
01223LADMN2A;1202LADMN2A;101866;120;2;506;102_092_LP;6.00;1.00;9.65
01224LADMN2A;1202LADMN2A;101866;120;2;507;102_092_M;0.00;7.00;8.50
01225LADMN2A;1202LADMN2A;101866;120;2;508;102_092_PPI;7.5;8.5;10.00
01226LADMN2A;1202LADMN2A;101866;120;2;509;102_092_TGA;9.00;2.00;2.00
01227LMATN1A;1234LMATN1A;101877;123;4;1253;1261253TNE;7.5;7.00;9.65
01228BREDN1A;1322BREDN1A;101882;132;2;1079;821B_092_101_CR;0.00;6.00;6.00
01229BREDN1A;1322BREDN1A;101882;132;2;1080;821B_092_101_FIE;5.25;10.00;0.50
01230BREDN1A;1322BREDN1A;101882;132;2;1081;821B_092_101_FSO;4.00;5.00;6.00
01231BREDN1A;1322BREDN1A;101882;132;2;1082;821B_092_101_ICSO;8.00;4.75;4.75
01232BREDN1A;1322BREDN1A;101882;132;2;1083;821B_092_101_PPI;0.00;10.00;7.00
01233LSIDN1A;1351LSIDN1A;101886;135;1;1168;701_092_AP;2.00;7.00;8.50
01234LSIDN1A;1351LSIDN1A;101886;135;1;1169;701_092_IB;8.00;3.00;4.75
01235LSIDN1A;1351LSIDN1A;101886;135;1;1170;701_092_LP;8.00;10.00;0.50
01236LSIDN1A;1351LSIDN1A;101886;135;1;1171;701_092_M;1.00;7.00;0.50
01237LSIDN1A;1351LSIDN1A;101886;135;1;1172;701_092_PPI;8.00;2.00;7.00
01238LREDM1A;1325LREDM1A;101894;132;5;1092;821E_081_FIRW;2.00;10.00;6.00
01239LREDM1A;1325LREDM1A;101894;132;5;1093;821E_081_GPR;6.00;5.00;4.75
01240LREDM1A;1325LREDM1A;101894;132;5;1094;821E_081_LE;9.00;6.00;2.00
01241LREDM1A;1325LREDM1A;101894;132;5;1095;821E_081_PPI;2.00;4.75;5.00
01242LREDM1A;1325LREDM1A;101894;132;5;1096;821E_081_SR;8.00;2.00;3.00
01243LBDDM2A;1272LBDDM2A;101895;127;2;589;823B_092_FBD;6.00;3.00;10.00
01244LBDDM2A;1272LBDDM2A;101895;127;2;590;823B_092_FSO;9.00;7.00;8.50
01245LBDDM2A;1272LBDDM2A;101895;127;2;591;823B_092_ICSOR;3.5;2.00;2.00
01246LBDDM2A;1272LBDDM2A;101895;127;2;592;823B_092_ICS;4.00;9.65;10.00
01247LBDDM2A;1272LBDDM2A;101895;127;2;593;823B_092_PPI;1.00;1.00;1.00
01248BBDDN2A;1272BBDDN2A;101901;127;2;589;823B_092_FBD;2.00;5.00;6.00
01249BBDDN2A;1272BBDDN2A;101901;127;2;590;823B_092_FSO;9.00;2.00;1.00
01250BBDDN2A;1272BBDDN2A;101901;127;2;591;823B_092_ICSOR;1.00;3.00;8.50
01251BBDDN2A;1272BBDDN2A;101901;127;2;592;823B_092_ICS;10.00;8.5;6.00
01252BBDDN2A;1272BBDDN2A;101901;127;2;593;823B_092_PPI;4.00;10.00;4.75
01253LSISN2A;1253LSISN2A;101914;125;3;1179;703_092_CG;2.00;3.00;8.50
01254LSISN2A;1253LSISN2A;101914;125;3;1180;703_092_E;1.00;1.00;10.00
01255LSISN2A;1253LSISN2A;101914;125;3;1181;703_092_ED;3.5;7.00;7.00
01256LSISN2A;1253LSISN2A;101914;125;3;1182;703_092_PPI;5.25;6.00;1.00
01257LSISN2A;1253LSISN2A;101914;125;3;1183;703_092_TP;5.25;2.00;8.50
01258BMATN2A;1234BMATN2A;101915;123;4;1223;1261223EDI;4.00;9.65;0.50
01259LADMN2A;1204LADMN2A;101923;120;4;521;104_081_ADF;5.25;2.00;9.65
01260LADMN2A;1204LADMN2A;101923;120;4;522;104_081_CO;0.00;5.00;5.00
01261LADMN2A;1204LADMN2A;101923;120;4;523;104_081_DEM;9.00;5.00;5.00
01262LADMN2A;1204LADMN2A;101923;120;4;524;104_081_E;4.00;6.00;10.00
01263LADMN2A;1204LADMN2A;101923;120;4;525;104_081_M;8.00;6.00;2.00
01264LADMN2A;1204LADMN2A;101923;120;4;526;104_081_PPIN;7.5;3.00;10.00
01265BMATM1A;1235BMATM1A;101926;123;5;1213;1261213ALG;1.00;7.00;3.00
01266BBLCM1A;1291BBLCM1A;101929;129;1;1168;701_092_AP;5.25;3.00;4.75
01267BBLCM1A;1291BBLCM1A;101929;129;1;1169;701_092_IB;7.5;2.00;0.50
01268BBLCM1A;1291BBLCM1A;101929;129;1;1170;701_092_LP;4.00;10.00;3.00
01269BBLCM1A;1291BBLCM1A;101929;129;1;1171;701_092_M;1.00;3.00;4.75
01270BBLCM1A;1291BBLCM1A;101929;129;1;1172;701_092_PPI;6.00;9.65;8.50
01271LBDDM2A;1272LBDDM2A;101933;127;2;589;823B_092_FBD;0.00;1.00;10.00
01272LBDDM2A;1272LBDDM2A;101933;127;2;590;823B_092_FSO;1.00;9.65;3.00
01273LBDDM2A;1272LBDDM2A;101933;127;2;591;823B_092_ICSOR;1.00;6.00;4.75
01274LBDDM2A;1272LBDDM2A;101933;127;2;592;823B_092_ICS;0.00;7.00;1.00
01275LBDDM2A;1272LBDDM2A;101933;127;2;593;823B_092_PPI;4.00;1.00;6.00
01276BMATN1A;1231BMATN1A;101940;123;1;1225;1261225ES1;5.25;8.5;2.00
01277BMATM1A;1238BMATM1A;101952;123;8;1246;1261246MEC;0.00;6.00;0.50
01278LREDM1A;1322LREDM1A;101959;132;2;1079;821B_092_101_CR;7.5;7.00;4.75
01279LREDM1A;1322LREDM1A;101959;132;2;1080;821B_092_101_FIE;3.5;4.75;1.00
01280LREDM1A;1322LREDM1A;101959;132;2;1081;821B_092_101_FSO;0.00;7.00;3.00
01281LREDM1A;1322LREDM1A;101959;132;2;1082;821B_092_101_ICSO;10.00;10.00;6.00
01282LREDM1A;1322LREDM1A;101959;132;2;1083;821B_092_101_PPI;5.25;8.5;7.00
01283LREDN2A;1324LREDN2A;101970;132;4;1088;821D_092_PPI;9.00;9.65;9.65
01284LREDN2A;1324LREDN2A;101970;132;4;1089;821D_092_SIER;7.5;10.00;2.00
01285LREDN2A;1324LREDN2A;101970;132;4;1090;821D_092_TGMAD;5.25;9.65;1.00
01286LREDN2A;1324LREDN2A;101970;132;4;1091;821D_092_TRGIE;7.5;9.65;4.75
01287LICCN1A;1301LICCN1A;101979;130;1;1168;701_092_AP;7.5;8.5;9.65
01288LICCN1A;1301LICCN1A;101979;130;1;1169;701_092_IB;4.00;3.00;5.00
